cpp-developer	Desarrollador C++
soft-skills	Habilidades blandas
ability-to-learn	Capacidad de aprendizaje
ask-the-right-questions	Hacer las preguntas correctas
process-information	Procesar información
experimenting	Experimentación
manage-knowledge	Gestionar el conocimiento
manage-mistakes	Gestionar errores
analyze-mistakes	Analizar errores
admitting-your-mistakes	Admitir los errores
notify-about-mistakes-in	Notificar los errores a tiempo
accept-criticism	Aceptar críticas
thinking	Pensamiento
logical	Lógico
systems	Sistémico
critical	Crítico
creative	Creativo
strategic	Estratégico
responsibility	Responsabilidad
discipline	Disciplina
persistence	Persistencia
initiative	Iniciativa
independence	Independencia
problem-solving	Resolución de problemas
manage-resources	Gestión de recursos
time-management	Gestión del tiempo
prioritization	Priorización
taking-decisions	Toma de decisiones
blind-typing	Mecanografía al tacto
multitasking	Multitarea
communication	Comunicación
negotiation	Negociación
ability-to-listen	Capacidad de escucha
persuasion	Persuasión
ability-to-communicate-ideas	Capacidad para comunicar ideas y pensamientos dentro del equipo
providing-information-to-people	Proporcionar información a personas fuera del equipo
finding-compromises	Encontrar compromisos
dispute-resolution	Resolución de conflictos
english	Inglés
presentation	Presentación
written-communication-skill	Habilidad de comunicación escrita
networking	Networking
team-work	Trabajo en equipo
understanding-the-distribution-of	Entender la distribución de roles en un equipo
support-team-members	Apoyar a los miembros del equipo
work-in-a-distributed	Trabajar en un equipo distribuido
providing-feedback	Proporcionar retroalimentación
leadership	Liderazgo
assigning-and-clarifying-tasks	Asignar y aclarar tareas a los empleados
planning-and-goal-setting	Planificación y establecimiento de objetivos
mentoring	Mentoría
delegation	Delegación
emotional-intelligence	Inteligencia emocional
stress-resistance	Resistencia al estrés
working-in-uncertainty	Trabajar en la incertidumbre
adaptability	Adaptabilidad
open-mindedness	Mente abierta
concentration	Concentración
empathy	Empatía
understanding-the-development-context	Entender el contexto de desarrollo
customer-focus	Enfoque en el cliente
technology	Tecnología
trends	Tendencias
hard-skills	Habilidades duras
language-syntax	Sintaxis del lenguaje
basic-operations	Operaciones básicas
arithmetic-operations	Operaciones aritméticas
logical-operations	Operaciones lógicas
loops-for-while	Bucles: for/while
bitwise-operations	Operaciones a nivel de bits
functions	Funciones
operators	Operadores
lambda	lambda
data-types	Tipos de datos
static-typing	Tipado estático
dynamic-typing	Tipado dinámico
rtti	RTTI
pointers-and-references	Punteros y Referencias
references	Referencias
smart-pointer	Punteros inteligentes
unique-ptr	unique_ptr
shared-ptr	shared_ptr
weak-ptr	weak_ptr
memory-model	Modelo de memoria
lifetime-of-objects	Tiempo de vida de los objetos
raw-pointers	Punteros crudos
new-delete-operators	Operadores new/delete
memory-leakage	Fugas de memoria
codebase-structuring	Estructuración del código
code-splitting-into-headers	División de código en archivos headers/cpp
